day,hour,value
1,1,9
1,2,16
1,3,2
1,4,3
1,5,5
1,6,0
1,7,2
1,8,15
1,9,53
1,10,74
1,11,3
1,12,45
1,13,2
1,14,34
1,15,5
1,16,25
1,17,67
1,18,8
1,19,33
1,20,22
1,21,69
1,22,35
1,23,64
1,24,14
2,1,59
2,2,65
2,3,11
2,4,19
2,5,67
2,6,13
2,7,26
2,8,59
2,9,15
2,10,67
2,11,2
2,12,27
2,13,54
2,14,44
2,15,39
2,16,56
2,17,20
2,18,43
2,19,42
2,20,60
2,21,55
2,22,65
2,23,55
2,24,46
3,1,58
3,2,54
3,3,42
3,4,57
3,5,37
3,6,16
3,7,5
3,8,13
3,9,54
3,10,19
3,11,61
3,12,58
3,13,24
3,14,41
3,15,46
3,16,57
3,17,17
3,18,43
3,19,53
3,20,68
3,21,40
3,22,25
3,23,21
3,24,46
4,1,57
4,2,40
4,3,14
4,4,14
4,5,29
4,6,23
4,7,35
4,8,66
4,9,44
4,10,3
4,11,55
4,12,0
4,13,16
4,14,21
4,15,70
4,16,53
4,17,38
4,18,1
4,19,14
4,20,68
4,21,21
4,22,55
4,23,49
4,24,9
5,1,59
5,2,39
5,3,16
5,4,47
5,5,15
5,6,0
5,7,0
5,8,52
5,9,35
5,10,9
5,11,68
5,12,11
5,13,12
5,14,53
5,15,35
5,16,63
5,17,46
5,18,61
5,19,32
5,20,10
5,21,37
5,22,28
5,23,21
5,24,4
6,1,19
6,2,1
6,3,51
6,4,34
6,5,14
6,6,27
6,7,26
6,8,32
6,9,4
6,10,14
6,11,60
6,12,28
6,13,45
6,14,65
6,15,17
6,16,7
6,17,44
6,18,22
6,19,11
6,20,1
6,21,68
6,22,58
6,23,25
6,24,63
7,1,48
7,2,14
7,3,25
7,4,28
7,5,26
7,6,8
7,7,32
7,8,67
7,9,28
7,10,10
7,11,60
7,12,50
7,13,17
7,14,25
7,15,42
7,16,20
7,17,34
7,18,34
7,19,46
7,20,10
7,21,30
7,22,39
7,23,18
7,24,45
